country,director,genre,language,rating,runtime,titleC
美国,弗兰克·德拉邦特,"剧情,犯罪",英语,9.6,142分钟,肖申克的救赎 The Shawshank Redemption
中国大陆 / 香港,陈凯歌,"剧情,爱情,同性",汉语普通话,9.5,171 分钟,霸王别姬
法国,吕克·贝松,"剧情,动作,犯罪",英语 / 意大利语 / 法语,9.4,110分钟(剧场版),这个杀手不太冷 Léon
美国,罗伯特·泽米吉斯,"剧情,爱情",英语,9.4,142 分钟,阿甘正传 Forrest Gump
意大利,罗伯托·贝尼尼,"剧情,喜剧,爱情,战争",意大利语 / 德语 / 英语,9.5,116分钟,美丽人生 La vita è bella
美国,詹姆斯·卡梅隆,"剧情,爱情,灾难",英语 / 意大利语 / 德语 / 俄语,9.2,194分钟,泰坦尼克号 Titanic
日本,宫崎骏,"剧情,动画,奇幻",日语,9.2,125分钟,千与千寻 千と千尋の神隠し
美国,史蒂文·斯皮尔伯格,"剧情,历史,战争",英语 / 希伯来语 / 德语 / 波兰语,9.4,195分钟,辛德勒的名单 Schindler's List
美国 / 英国,克里斯托弗·诺兰,"剧情,科幻,悬疑,冒险",英语 / 日语 / 法语,9.2,148分钟,盗梦空间 Inception
美国,安德鲁·斯坦顿,"爱情,科幻,动画,冒险",英语,9.3,98分钟,机器人总动员 WALL·E
印度,拉吉库马尔·希拉尼,"剧情,喜剧,爱情,歌舞",印地语 / 乌尔都语 / 英语,9.1,171分钟(印度),三傻大闹宝莱坞 3 Idiots
意大利,朱塞佩·托纳多雷,"剧情,音乐",英语 / 法语,9.2,165分钟,海上钢琴师 La leggenda del pianista sull'oceano
美国 / 英国,拉斯·霍尔斯道姆,剧情,英语 / 日语,9.2,93分钟,忠犬八公的故事 Hachi: A Dog's Tale
法国 / 瑞士 / 德国,克里斯托夫·巴拉蒂,"剧情,音乐",法语,9.2,97 分钟,放牛班的春天 Les choristes
香港 / 中国大陆,刘镇伟,"喜剧,爱情,奇幻,冒险",粤语 / 汉语普通话,9.2,95分钟,大话西游之大圣娶亲 西遊記大結局之仙履奇緣
美国,彼得·威尔,"剧情,科幻",英语,9.1,103 分钟,楚门的世界 The Truman Show
日本,宫崎骏,"动画,家庭,儿童,奇幻",日语,9.1,86分钟,龙猫 となりのトトロ
美国,弗朗西斯·福特·科波拉,"剧情,犯罪",英语 / 意大利语 / 拉丁语,9.2,175 分钟,教父 The Godfather
美国 / 英国 / 加拿大 / 冰岛,克里斯托弗·诺兰,"剧情,科幻,冒险",英语,9.1,169分钟,星际穿越 Interstellar
法国,"奥利维埃·纳卡什,埃里克·托莱达诺","剧情,喜剧",法语,9.1,112分钟,触不可及 Intouchables
美国,"维克多·弗莱明,乔治·库克,山姆·伍德","剧情,爱情,历史,战争",英语,9.2,238分钟,乱世佳人 Gone with the Wind
香港,"刘伟强,麦兆辉","剧情,悬疑,犯罪",粤语,9.0,101分钟,无间道 無間道
美国,加布里埃莱·穆奇诺,"剧情,家庭,传记",英语 / 粤语,8.9,117分钟,当幸福来敲门 The Pursuit of Happyness
美国,罗伯·莱纳,"剧情,喜剧,爱情",英语,8.9,90分钟,怦然心动 Flipped
意大利 / 法国,朱塞佩·托纳多雷,"剧情,爱情",意大利语 / 英语 / 葡萄牙语,9.1,155分钟,天堂电影院 Nuovo Cinema Paradiso
美国,西德尼·吕美特,剧情,英语,9.4,96 分钟,十二怒汉 12 Angry Men
美国 / 台湾 / 英国 / 加拿大,李安,"剧情,奇幻,冒险",英语 / 泰米尔语 / 法语 / 日语 / 印地语 / 汉语普通话,9.0,127分钟,少年派的奇幻漂流 Life of Pi
美国 / 英国,克里斯托弗·诺兰,"剧情,动作,科幻,惊悚,犯罪",英语 / 汉语普通话,9.0,152分钟,蝙蝠侠：黑暗骑士 The Dark Knight
中国大陆,姜文,"剧情,历史,战争",汉语普通话 / 日语 / 唐山话,9.2,139分钟,鬼子来了
美国 / 德国,大卫·芬奇,"剧情,动作,悬疑,惊悚",英语,9.0,139 分钟,搏击俱乐部 Fight Club
中国大陆 / 香港,张艺谋,"剧情,家庭,历史",汉语普通话,9.1,132分钟,活着
美国 / 新西兰,彼得·杰克逊,"剧情,动作,奇幻,冒险",英语 / 昆雅语 / 古英语 / 辛达林语,9.1,201分钟,指环王3：王者无敌 The Lord of the Rings: The Return of the King
美国,"拜伦·霍华德,瑞奇·摩尔,杰拉德·布什","喜剧,动画,冒险",英语 / 挪威语,9.2,109分钟(中国大陆),疯狂动物城 Zootopia
日本,宫崎骏,"动画,奇幻,冒险",日语,9.0,125分钟,天空之城 天空の城ラピュタ
香港 / 中国大陆,刘镇伟,"喜剧,爱情,奇幻,冒险",粤语 / 汉语普通话,8.9,87分钟,大话西游之月光宝盒 西遊記第壹佰零壹回之月光寶盒
美国,威廉·惠勒,"剧情,喜剧,爱情",英语 / 意大利语 / 德语,8.9,118 分钟,罗马假日 Roman Holiday
美国,"彼特·道格特,鲍勃·彼德森","剧情,喜剧,动画,冒险",英语,8.9,96分钟,飞屋环游记 Up
美国,比利·怀德,"剧情,悬疑,犯罪",英语 / 德语,9.6,116分钟,控方证人 Witness for the Prosecution
德国,弗洛里安·亨克尔·冯·多纳斯马尔克,"剧情,悬疑",德语,9.1,137分钟,窃听风暴 Das Leben der Anderen
英国,盖·里奇,"剧情,喜剧,犯罪",英语,9.1,107分钟,"两杆大烟枪 Lock, Stock and Two Smoking Barrels"
美国,米洛斯·福尔曼,剧情,英语,9.0,133分钟,飞越疯人院 One Flew Over the Cuckoo's Nest
美国,马丁·布莱斯,剧情,英语,8.9,157 分钟,闻香识女人 Scent of a Woman
日本,宫崎骏,"动画,奇幻,冒险",日语,8.9,119分钟,哈尔的移动城堡 ハウルの動く城
韩国,杨宇硕,剧情,韩语,9.1,127分钟,辩护人 변호인
美国,路易·西霍尤斯,纪录片,英语 / 日语,9.3,92分钟,海豚湾 The Cove
美国 / 英国 / 德国,詹姆斯·麦克特格,"剧情,动作,科幻,惊悚",英语,8.8,132分钟,V字仇杀队 V for Vendetta
美国,彼得·威尔,剧情,英语,8.9,128 分钟,死亡诗社 Dead Poets Society
美国,弗朗西斯·福特·科波拉,"剧情,犯罪",英语 / 意大利语 / 西班牙语 / 拉丁语 / 西西里语,9.1,202分钟,教父2 The Godfather: Part Ⅱ
美国,朗·霍华德,"剧情,传记",英语,8.9,135 分钟,美丽心灵 A Beautiful Mind
美国 / 新西兰,彼得·杰克逊,"剧情,动作,奇幻,冒险",英语 / 辛达林语 / 古代英语,8.9,179分钟,指环王2：双塔奇兵 The Lord of the Rings: The Two Towers
新西兰 / 美国,彼得·杰克逊,"剧情,动作,奇幻,冒险",英语 / 辛达林语,8.9,178分钟,指环王1：魔戒再现 The Lord of the Rings: The Fellowship of the Ring
台湾 / 美国,李安,"剧情,家庭",汉语普通话 / 闽南语 / 湖南话,9.1,124分钟,饮食男女 飲食男女
日本,岩井俊二,"剧情,爱情",日语,8.8,117分钟,情书 Love Letter
印度,涅提·蒂瓦里,"剧情,家庭,传记,运动",印地语,9.1,161分钟(印度),摔跤吧！爸爸 Dangal
意大利 / 美国,赛尔乔·莱翁内,"剧情,犯罪",英语 / 法语 / 意大利语,9.1,229分钟(导演剪辑版),美国往事 Once Upon a Time in America
美国,"罗杰·阿勒斯,罗伯·明可夫","剧情,动画,歌舞,家庭,冒险",英语 / 斯瓦希里语 / 科萨语 / 祖鲁语,8.9,89 分钟,狮子王 The Lion King
法国 / 德国 / 英国 / 波兰,罗曼·波兰斯基,"剧情,音乐,传记,历史,战争",英语 / 德语 / 俄语,9.0,150分钟,钢琴家 The Pianist
韩国,李濬益,剧情,韩语,9.1,123分钟,素媛 소원
法国 / 德国,让-皮埃尔·热内,"喜剧,爱情",法语 / 俄语,8.7,122分钟,天使爱美丽 Le fabuleux destin d'Amélie Poulain
伊朗,马基德·马基迪,"剧情,家庭,儿童",波斯语,9.2,89 分钟,小鞋子 بچههای آسمان
美国,大卫·芬奇,"剧情,悬疑,惊悚,犯罪",英语 / 葡萄牙语,8.7,127分钟,七宗罪 Se7en
日本,中岛哲也,"剧情,歌舞",日语,8.8,130 分钟,被嫌弃的松子的一生 嫌われ松子の一生
美国 / 英国,克里斯托弗·诺兰,"剧情,悬疑,惊悚",英语,8.8,130分钟,致命魔术 The Prestige
美国,大卫·芬奇,"剧情,爱情,奇幻",英语 / 俄语 / 法语,8.7,166分钟,本杰明·巴顿奇事 The Curious Case of Benjamin Button
美国,罗伯特·怀斯,"剧情,爱情,歌舞,传记",英语,8.9,174分钟,音乐之声 The Sound of Music
美国,梅尔·吉布森,"剧情,动作,传记,历史,战争",英语 / 法语 / 拉丁语 / 苏格兰盖尔语,8.8,177 分钟,勇敢的心 Braveheart
意大利 / 美国,朱塞佩·托纳多雷,"剧情,情色,战争",意大利语 / 英语 / 拉丁语 / 古希腊语,8.7,109 分钟,西西里的美丽传说 Malèna
美国,蒂姆·波顿,"剧情,爱情,奇幻",英语,8.7,105 分钟,剪刀手爱德华 Edward Scissorhands
美国,昆汀·塔伦蒂诺,"剧情,喜剧,犯罪",英语 / 西班牙语 / 法语,8.8,154分钟,低俗小说 Pulp Fiction
美国 / 澳大利亚,"莉莉·沃卓斯基,拉娜·沃卓斯基","动作,科幻",英语,8.8,136分钟,黑客帝国 The Matrix
美国,史蒂文·斯皮尔伯格,"剧情,历史,战争",英语 / 法语 / 德语 / 捷克语,8.9,169分钟,拯救大兵瑞恩 Saving Private Ryan
美国,乔纳森·戴米,"剧情,惊悚,犯罪",英语,8.7,118分钟,沉默的羔羊 The Silence of the Lambs
西班牙,奥里奥尔·保罗,"剧情,悬疑,惊悚,犯罪",西班牙语,8.7,106分钟,看不见的客人 Contratiempo
中国大陆 / 香港,姜文,"剧情,喜剧,动作,西部",汉语普通话 / 四川话 / 山西话,8.7,132分钟,让子弹飞
美国 / 加拿大,"埃里克·布雷斯,J·麦基·格鲁伯","剧情,科幻,悬疑,惊悚",英语,8.7,113分钟,蝴蝶效应 The Butterfly Effect
日本,泷田洋二郎,剧情,日语,8.8,130 分钟,入殓师 おくりびと
香港 / 日本 / 韩国,王家卫,"剧情,爱情,同性",粤语 / 汉语普通话 / 西班牙语,8.8,96分钟,春光乍泄 春光乍洩
中国大陆,"万籁鸣,唐澄","动画,奇幻",汉语普通话,9.2,114分钟,大闹天宫
澳大利亚,亚当·艾略特,"剧情,动画",英语 / 依地语,8.9,92分钟,玛丽和马克思 Mary and Max
意大利 / 中国大陆 / 英国 / 法国,贝纳尔多·贝托鲁奇,"剧情,传记,历史",英语 / 汉语普通话 / 日语 / 俄语,8.9,163分钟,末代皇帝 The Last Emperor
美国,格斯·范·桑特,剧情,英语,8.8,126 分钟,心灵捕手 Good Will Hunting
